#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
MGYG000000005_01849	216816.GS08_02570	1.8e-167	469.0	COG0289@1|root,COG0289@2|Bacteria,2GM2T@201174|Actinobacteria,4CZJ5@85004|Bifidobacteriales	201174|Actinobacteria	E	Catalyzes the conversion of 4-hydroxy- tetrahydrodipicolinate (HTPA) to tetrahydrodipicolinate	dapB	-	1.17.1.8	ko:K00215	ko00261,ko00300,ko01100,ko01110,ko01120,ko01130,ko01230,map00261,map00300,map01100,map01110,map01120,map01130,map01230	M00016,M00525,M00526,M00527	R04198,R04199	RC00478	ko00000,ko00001,ko00002,ko01000	-	-	-	Acetyltransf_8,DapB_C,DapB_N
MGYG000000005_01885	515620.EUBELI_20104	6.78e-77	230.0	COG0394@1|root,COG0394@2|Bacteria,1V3JW@1239|Firmicutes,24HBX@186801|Clostridia,25WS3@186806|Eubacteriaceae	186801|Clostridia	T	Belongs to the low molecular weight phosphotyrosine protein phosphatase family	arsC	-	1.20.4.1	ko:K03741	-	-	-	-	ko00000,ko01000	-	-	-	LMWPc
MGYG000000005_00841	216816.GS08_06120	1.98e-167	468.0	COG0204@1|root,COG0204@2|Bacteria,2GJ6V@201174|Actinobacteria,4CZBB@85004|Bifidobacteriales	201174|Actinobacteria	I	Phosphate acyltransferases	plsC2	-	2.3.1.51	ko:K00655	ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110	M00089	R02241,R09381	RC00004,RC00037,RC00039	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	Acyltransferase
MGYG000000005_00810	216816.GS08_06275	3.71e-169	474.0	2AVV0@1|root,31MNQ@2|Bacteria,2GJKP@201174|Actinobacteria,4CYQX@85004|Bifidobacteriales	201174|Actinobacteria	S	Protein of unknown function (DUF3159)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3159
MGYG000000005_01425	216816.GS08_06530	6.71e-242	663.0	COG2017@1|root,COG2017@2|Bacteria,2GJ0H@201174|Actinobacteria,4CYWN@85004|Bifidobacteriales	201174|Actinobacteria	G	Aldose 1-epimerase	-	-	5.1.3.3	ko:K01785	ko00010,ko00052,ko01100,ko01110,ko01120,ko01130,map00010,map00052,map01100,map01110,map01120,map01130	M00632	R01602,R10619	RC00563	ko00000,ko00001,ko00002,ko01000	-	-	-	Aldose_epim
MGYG000000005_01393	216816.GS08_06680	0.0	865.0	COG1653@1|root,COG1653@2|Bacteria,2GJSR@201174|Actinobacteria,4D08C@85004|Bifidobacteriales	201174|Actinobacteria	G	Bacterial extracellular solute-binding protein	-	-	-	ko:K02027	-	M00207	-	-	ko00000,ko00002,ko02000	3.A.1.1	-	-	SBP_bac_1,SBP_bac_8
MGYG000000005_00644	216816.GS08_07120	0.0	925.0	COG3170@1|root,COG3170@2|Bacteria,2I2GE@201174|Actinobacteria,4CZDF@85004|Bifidobacteriales	201174|Actinobacteria	NU	Tfp pilus assembly protein FimV	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000005_00709	216816.GS08_07460	0.0	986.0	COG1129@1|root,COG1129@2|Bacteria,2GJ3F@201174|Actinobacteria,4CZ8Y@85004|Bifidobacteriales	201174|Actinobacteria	G	ATPases associated with a variety of cellular activities	-	-	3.6.3.17	ko:K02056,ko:K10441	ko02010,map02010	M00212,M00221	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.2,3.A.1.2.1,3.A.1.2.13,3.A.1.2.19	-	-	ABC_tran
MGYG000000005_00529	216816.GS08_03065	2.63e-301	824.0	COG0027@1|root,COG0027@2|Bacteria,2GMCS@201174|Actinobacteria,4CZXH@85004|Bifidobacteriales	201174|Actinobacteria	F	Involved in the de novo purine biosynthesis. Catalyzes the transfer of formate to 5-phospho-ribosyl-glycinamide (GAR), producing 5-phospho-ribosyl-N-formylglycinamide (FGAR). Formate is provided by PurU via hydrolysis of 10-formyl-tetrahydrofolate	purT	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008776,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016774,GO:0044237,GO:0044424,GO:0044444,GO:0044464	2.1.2.2	ko:K08289	ko00230,ko00670,ko01100,ko01110,ko01130,map00230,map00670,map01100,map01110,map01130	M00048	R04325,R04326	RC00026,RC00197,RC01128	ko00000,ko00001,ko00002,ko01000	-	-	iNJ661.Rv0389	ATP-grasp,Epimerase,RmlD_sub_bind
MGYG000000005_00559	216816.GS08_03265	6.92e-141	398.0	2AN86@1|root,31D67@2|Bacteria,2HWWU@201174|Actinobacteria,4CZZS@85004|Bifidobacteriales	201174|Actinobacteria	S	Protein of unknown function (DUF3043)	-	GO:0008150,GO:0009605,GO:0009607,GO:0020012,GO:0030682,GO:0042783,GO:0043207,GO:0044403,GO:0044413,GO:0044415,GO:0044419,GO:0050896,GO:0051701,GO:0051704,GO:0051707,GO:0051805,GO:0051807,GO:0051810,GO:0051832,GO:0051834,GO:0052173,GO:0052200,GO:0052564,GO:0052572,GO:0075136	-	-	-	-	-	-	-	-	-	-	BPD_transp_1,DUF3043
MGYG000000005_01861	216816.GS08_02450	0.0	2547.0	COG0086@1|root,COG0086@2|Bacteria,2GKWF@201174|Actinobacteria,4CZ1D@85004|Bifidobacteriales	201174|Actinobacteria	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates	rpoC	GO:0000428,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005886,GO:0008150,GO:0016020,GO:0030312,GO:0030880,GO:0032991,GO:0040007,GO:0044424,GO:0044464,GO:0061695,GO:0071944,GO:1902494,GO:1990234	2.7.7.6	ko:K03046	ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020	M00183	R00435,R00441,R00442,R00443	RC02795	br01611,ko00000,ko00001,ko00002,ko01000,ko03021,ko03400	-	-	-	RNA_pol_A_CTD,RNA_pol_Rpb1_1,RNA_pol_Rpb1_2,RNA_pol_Rpb1_3,RNA_pol_Rpb1_4,RNA_pol_Rpb1_5
MGYG000000005_00023	216816.GS08_08140	0.0	867.0	COG0372@1|root,COG0372@2|Bacteria,2GJ7E@201174|Actinobacteria,4CZ2J@85004|Bifidobacteriales	201174|Actinobacteria	C	Citrate synthase, C-terminal domain	gltA	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0016020,GO:0044424,GO:0044444,GO:0044464,GO:0071944	2.3.3.1	ko:K01647	ko00020,ko00630,ko01100,ko01110,ko01120,ko01130,ko01200,ko01210,ko01230,map00020,map00630,map01100,map01110,map01120,map01130,map01200,map01210,map01230	M00009,M00010,M00012,M00740	R00351	RC00004,RC00067	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	Citrate_synt
MGYG000000005_00057	401473.BDP_0567	1.41e-176	496.0	COG0395@1|root,COG0395@2|Bacteria,2GNQW@201174|Actinobacteria,4CZTW@85004|Bifidobacteriales	201174|Actinobacteria	P	Binding-protein-dependent transport system inner membrane component	-	-	-	ko:K02026,ko:K10119,ko:K17243	ko02010,map02010	M00196,M00207,M00600	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.1,3.A.1.1.28,3.A.1.1.39	-	-	BPD_transp_1
MGYG000000005_00090	216816.GS08_08500	3.4e-296	808.0	COG1215@1|root,COG1215@2|Bacteria,2HZ9V@201174|Actinobacteria,4CZ5J@85004|Bifidobacteriales	201174|Actinobacteria	M	Glycosyl transferase family 21	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_tranf_2_3
MGYG000000005_01073	216816.GS08_04400	2.65e-93	272.0	COG0346@1|root,COG0346@2|Bacteria,2II51@201174|Actinobacteria,4D0XJ@85004|Bifidobacteriales	201174|Actinobacteria	E	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	gloA	-	-	-	-	-	-	-	-	-	-	-	Glyoxalase
MGYG000000005_01041	216816.GS08_04575	3.91e-142	400.0	COG2151@1|root,COG2151@2|Bacteria,2IKUH@201174|Actinobacteria,4CYRH@85004|Bifidobacteriales	201174|Actinobacteria	S	Iron-sulfur cluster assembly protein	-	-	-	-	-	-	-	-	-	-	-	-	FeS_assembly_P,Ribosomal_L22
MGYG000000005_00117	216816.GS08_08675	0.0	1092.0	COG1190@1|root,COG1190@2|Bacteria,2GKE0@201174|Actinobacteria,4CZHM@85004|Bifidobacteriales	201174|Actinobacteria	J	Belongs to the class-II aminoacyl-tRNA synthetase family	lysS	GO:0008150,GO:0040007	6.1.1.6	ko:K04567	ko00970,map00970	M00359,M00360	R03658	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	tRNA-synt_2,tRNA_anti-codon
MGYG000000005_01868	216816.GS08_03930	0.0	875.0	COG0128@1|root,COG0128@2|Bacteria,2GJKX@201174|Actinobacteria,4CZBG@85004|Bifidobacteriales	201174|Actinobacteria	E	Catalyzes the transfer of the enolpyruvyl moiety of phosphoenolpyruvate (PEP) to the 5-hydroxyl of shikimate-3- phosphate (S3P) to produce enolpyruvyl shikimate-3-phosphate and inorganic phosphate	aroA	GO:0003674,GO:0003824,GO:0003866,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006082,GO:0008150,GO:0008152,GO:0009058,GO:0009423,GO:0009987,GO:0016020,GO:0016053,GO:0016740,GO:0016765,GO:0019752,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046417,GO:0071704,GO:0071944,GO:1901576	2.5.1.19	ko:K00800	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R03460	RC00350	ko00000,ko00001,ko00002,ko01000	-	-	-	EPSP_synthase
MGYG000000005_01676	216816.GS08_05385	0.0	1014.0	COG4284@1|root,COG4284@2|Bacteria,2I2G3@201174|Actinobacteria,4CYTQ@85004|Bifidobacteriales	201174|Actinobacteria	G	UTP-glucose-1-phosphate uridylyltransferase	ugp	-	2.7.7.9	ko:K00963	ko00040,ko00052,ko00500,ko00520,ko01100,ko01130,map00040,map00052,map00500,map00520,map01100,map01130	M00129,M00361,M00362,M00549	R00289	RC00002	ko00000,ko00001,ko00002,ko01000	-	-	-	UDPGP
MGYG000000005_01728	216816.GS08_04075	9.99e-298	818.0	COG0038@1|root,COG0038@2|Bacteria,2GPPN@201174|Actinobacteria,4CZPX@85004|Bifidobacteriales	201174|Actinobacteria	P	Voltage gated chloride channel	-	-	-	ko:K03281	-	-	-	-	ko00000	2.A.49	-	-	Voltage_CLC
MGYG000000005_00515	1437610.BREU_0651	1.01e-164	465.0	COG0834@1|root,COG0834@2|Bacteria,2GN3G@201174|Actinobacteria,4CZ9E@85004|Bifidobacteriales	201174|Actinobacteria	ET	Bacterial periplasmic substrate-binding proteins	-	-	-	ko:K02030,ko:K02424,ko:K17073	ko02010,map02010	M00234,M00236,M00589	-	-	ko00000,ko00001,ko00002,ko02000,ko02035	3.A.1.3,3.A.1.3.10,3.A.1.3.14,3.A.1.3.20	-	-	EamA,SBP_bac_3
MGYG000000005_00548	216816.GS08_03190	3.24e-20	85.9	COG1846@1|root,COG1846@2|Bacteria,2GSTZ@201174|Actinobacteria,4D1IE@85004|Bifidobacteriales	201174|Actinobacteria	K	helix_turn_helix multiple antibiotic resistance protein	-	-	-	-	-	-	-	-	-	-	-	-	MarR,MarR_2
MGYG000000005_00580	216816.GS08_03370	5.47e-130	368.0	COG1418@1|root,COG1418@2|Bacteria,2IFXP@201174|Actinobacteria,4D0P2@85004|Bifidobacteriales	201174|Actinobacteria	S	Metal dependent phosphohydrolases with conserved 'HD' motif.	-	-	-	ko:K06950	-	-	-	-	ko00000	-	-	-	HD
MGYG000000005_00612	216816.GS08_06960	0.0	2360.0	COG0587@1|root,COG0587@2|Bacteria,2GJ1P@201174|Actinobacteria,4CZKT@85004|Bifidobacteriales	201174|Actinobacteria	L	DNA polymerase III alpha subunit	dnaE	GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0008150,GO:0016020,GO:0030312,GO:0040007,GO:0044464,GO:0071944	2.7.7.7	ko:K02337	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400	-	-	-	DNA_pol3_alpha,HHH_6,Intein_splicing,PHP,tRNA_anti-codon
MGYG000000005_00741	216816.GS08_07660	0.0	1002.0	COG0459@1|root,COG0459@2|Bacteria,2GKC9@201174|Actinobacteria,4CZJK@85004|Bifidobacteriales	201174|Actinobacteria	O	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions	groL	GO:0001666,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006457,GO:0006458,GO:0006950,GO:0008150,GO:0009266,GO:0009408,GO:0009628,GO:0009987,GO:0016020,GO:0016465,GO:0022610,GO:0030112,GO:0030312,GO:0030313,GO:0031975,GO:0032991,GO:0036293,GO:0040007,GO:0042026,GO:0042603,GO:0043388,GO:0044093,GO:0044183,GO:0044403,GO:0044406,GO:0044419,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0050896,GO:0051082,GO:0051098,GO:0051099,GO:0051101,GO:0051704,GO:0061077,GO:0065007,GO:0065009,GO:0070482,GO:0071944,GO:0101031,GO:1990220,GO:2000677,GO:2000679	-	ko:K04077	ko03018,ko04212,ko04940,ko05134,ko05152,map03018,map04212,map04940,map05134,map05152	-	-	-	ko00000,ko00001,ko03019,ko03029,ko03110,ko04147	-	-	-	Cpn60_TCP1
MGYG000000005_00773	216816.GS08_06470	3.49e-27	98.6	2CDEH@1|root,333ZN@2|Bacteria	2|Bacteria	S	Maff2 family	-	-	-	-	-	-	-	-	-	-	-	-	Maff2
MGYG000000005_00805	216816.GS08_06300	1.62e-203	565.0	COG0601@1|root,COG0601@2|Bacteria,2GJ2C@201174|Actinobacteria,4CZSV@85004|Bifidobacteriales	201174|Actinobacteria	EP	Binding-protein-dependent transport system inner membrane component	dppB	-	-	ko:K02033,ko:K15581	ko01501,ko02010,ko02024,map01501,map02010,map02024	M00239,M00439	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5,3.A.1.5.1,3.A.1.5.18,3.A.1.5.19,3.A.1.5.25	-	-	BPD_transp_1
MGYG000000005_00837	216816.GS08_06155	0.0	1859.0	COG0653@1|root,COG0653@2|Bacteria,2GIRT@201174|Actinobacteria,4CYX6@85004|Bifidobacteriales	201174|Actinobacteria	U	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane	secA	GO:0000166,GO:0003674,GO:0003824,GO:0005215,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0005887,GO:0006810,GO:0008104,GO:0008144,GO:0008150,GO:0008320,GO:0008565,GO:0015031,GO:0015399,GO:0015405,GO:0015440,GO:0015450,GO:0015462,GO:0015833,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0022804,GO:0022857,GO:0022884,GO:0030554,GO:0031224,GO:0031226,GO:0031522,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0033036,GO:0033220,GO:0035639,GO:0036094,GO:0042623,GO:0042626,GO:0042886,GO:0042887,GO:0043167,GO:0043168,GO:0043492,GO:0043952,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0045184,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071806,GO:0071944,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1904680	-	ko:K03070	ko02024,ko03060,ko03070,map02024,map03060,map03070	M00335	-	-	ko00000,ko00001,ko00002,ko02044	3.A.5.1,3.A.5.10,3.A.5.2,3.A.5.4	-	-	SEC-C,SecA_DEAD,SecA_PP_bind,SecA_SW
MGYG000000005_00003	326426.Bbr_1446	3.06e-184	511.0	COG0602@1|root,COG0602@2|Bacteria,2H0HA@201174|Actinobacteria,4CYSC@85004|Bifidobacteriales	201174|Actinobacteria	O	Activation of anaerobic ribonucleoside-triphosphate reductase under anaerobic conditions by generation of an organic free radical, using S-adenosylmethionine and reduced flavodoxin as cosubstrates to produce 5'-deoxy-adenosine	nrdG	-	1.97.1.4	ko:K04068	-	-	R04710	-	ko00000,ko01000	-	-	-	Fer4_12,Radical_SAM
MGYG000000005_00036	216816.GS08_08200	6.04e-275	756.0	COG0472@1|root,COG0472@2|Bacteria,2GIT7@201174|Actinobacteria,4CZ4P@85004|Bifidobacteriales	201174|Actinobacteria	M	Glycosyl transferase family 4	rfe	GO:0000287,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005623,GO:0005886,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0016043,GO:0016740,GO:0016772,GO:0016780,GO:0030145,GO:0034645,GO:0042546,GO:0043167,GO:0043169,GO:0043170,GO:0044036,GO:0044038,GO:0044085,GO:0044237,GO:0044249,GO:0044260,GO:0044464,GO:0045229,GO:0046872,GO:0046914,GO:0070589,GO:0071554,GO:0071555,GO:0071704,GO:0071840,GO:0071944,GO:1901576	2.7.8.33,2.7.8.35	ko:K02851	-	-	R08856	RC00002	ko00000,ko01000,ko01003,ko01005	-	-	-	Glycos_transf_4
MGYG000000005_00069	216816.GS08_08390	1.37e-54	170.0	2B0EM@1|root,31SS1@2|Bacteria,2GR47@201174|Actinobacteria,4D1E7@85004|Bifidobacteriales	201174|Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000005_00105	216816.GS08_08615	1.43e-222	612.0	COG0207@1|root,COG0207@2|Bacteria,2GKY0@201174|Actinobacteria,4CZQ3@85004|Bifidobacteriales	201174|Actinobacteria	F	Catalyzes the reductive methylation of 2'-deoxyuridine- 5'-monophosphate (dUMP) to 2'-deoxythymidine-5'-monophosphate (dTMP) while utilizing 5,10-methylenetetrahydrofolate (mTHF) as the methyl donor and reductant in the reaction, yielding dihydrofolate (DHF) as a by-product. This enzymatic reaction provides an intracellular de novo source of dTMP, an essential precursor for DNA biosynthesis	thyA	GO:0003674,GO:0003824,GO:0004799,GO:0006139,GO:0006220,GO:0006221,GO:0006231,GO:0006244,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0009056,GO:0009058,GO:0009117,GO:0009123,GO:0009124,GO:0009125,GO:0009129,GO:0009130,GO:0009131,GO:0009157,GO:0009159,GO:0009162,GO:0009165,GO:0009166,GO:0009176,GO:0009177,GO:0009178,GO:0009219,GO:0009221,GO:0009223,GO:0009262,GO:0009263,GO:0009264,GO:0009265,GO:0009394,GO:0009987,GO:0016740,GO:0016741,GO:0018130,GO:0019438,GO:0019439,GO:0019637,GO:0019692,GO:0032259,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0042083,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0046073,GO:0046078,GO:0046079,GO:0046385,GO:0046386,GO:0046434,GO:0046483,GO:0046700,GO:0055086,GO:0071704,GO:0072527,GO:0072528,GO:0072529,GO:0090407,GO:1901135,GO:1901136,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576	2.1.1.45	ko:K00560	ko00240,ko00670,ko01100,ko01523,map00240,map00670,map01100,map01523	M00053	R02101	RC00219,RC00332	ko00000,ko00001,ko00002,ko01000	-	-	-	Thymidylat_synt
MGYG000000005_00139	216816.GS08_08835	0.0	1356.0	COG1263@1|root,COG1264@1|root,COG2190@1|root,COG1263@2|Bacteria,COG1264@2|Bacteria,COG2190@2|Bacteria,2GK6B@201174|Actinobacteria,4CZR7@85004|Bifidobacteriales	201174|Actinobacteria	G	pts system, glucose-specific IIABC component	ptsG	-	-	ko:K02755,ko:K02756,ko:K02757	ko02060,map02060	M00271	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	4.A.1.2.11,4.A.1.2.2,4.A.1.2.5,4.A.1.2.6	-	-	PTS_EIIA_1,PTS_EIIB,PTS_EIIC
MGYG000000005_00172	216816.GS08_09000	1.52e-98	286.0	COG0200@1|root,COG0200@2|Bacteria,2II6M@201174|Actinobacteria,4D0R9@85004|Bifidobacteriales	201174|Actinobacteria	J	binds to the 23S rRNA	rplO	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0015934,GO:0016020,GO:0022625,GO:0022626,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071944,GO:1990904	-	ko:K02876	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L27A
MGYG000000005_00205	216816.GS08_09170	1.99e-212	588.0	COG5006@1|root,COG5006@2|Bacteria,2GJKB@201174|Actinobacteria,4D03A@85004|Bifidobacteriales	201174|Actinobacteria	S	EamA-like transporter family	-	-	-	ko:K11939	-	-	-	-	ko00000,ko02000	2.A.7.3.6	-	-	EamA
MGYG000000005_00240	216816.GS08_01385	0.0	988.0	COG0747@1|root,COG0747@2|Bacteria,2GM5G@201174|Actinobacteria,4CYUZ@85004|Bifidobacteriales	201174|Actinobacteria	E	Bacterial extracellular solute-binding proteins, family 5 Middle	-	-	-	ko:K02035	ko02024,map02024	M00239	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5	-	-	SBP_bac_5
MGYG000000005_00274	216816.GS08_01550	1.44e-220	611.0	COG1266@1|root,COG1266@2|Bacteria,2I3DW@201174|Actinobacteria,4CZJZ@85004|Bifidobacteriales	201174|Actinobacteria	S	CAAX protease self-immunity	-	-	-	-	-	-	-	-	-	-	-	-	Abi
