#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
MGYG000000006_01417	1054217.TALC_00203	3.83e-133	386.0	COG2759@1|root,arCOG04538@2157|Archaea,2XTE0@28890|Euryarchaeota,241PA@183967|Thermoplasmata	183967|Thermoplasmata	F	Catalyzes the oxidation of 5,10- methylenetetrahydrofolate to 5,10-methenyltetrahydrofolate and then the hydrolysis of 5,10-methenyltetrahydrofolate to 10- formyltetrahydrofolate	folD	-	1.5.1.5,3.5.4.9	ko:K01491	ko00670,ko00720,ko01100,ko01120,ko01200,map00670,map00720,map01100,map01120,map01200	M00140,M00377	R01220,R01655	RC00202,RC00578	ko00000,ko00001,ko00002,ko01000	-	-	-	THF_DHG_CYH,THF_DHG_CYH_C
MGYG000000006_01041	555079.Toce_0185	4.99e-63	208.0	COG0003@1|root,COG0003@2|Bacteria,1TQZP@1239|Firmicutes,249JN@186801|Clostridia	186801|Clostridia	P	Arsenite-activated ATPase (ArsA)	arsA	-	3.6.3.16	ko:K01551	-	-	-	-	ko00000,ko01000,ko02000	3.A.19.1,3.A.21.1,3.A.4.1	-	-	ArsA_ATPase
MGYG000000006_00711	1054217.TALC_00334	7.71e-125	371.0	COG1941@1|root,arCOG02472@2157|Archaea,2XV6A@28890|Euryarchaeota	28890|Euryarchaeota	C	NADH ubiquinone oxidoreductase 20 kDa subunit	mvhG	-	1.12.1.2,1.12.1.3,1.12.1.5,1.8.98.5	ko:K14128,ko:K17994,ko:K18007	ko00680,ko00920,map00680,map00920	-	R00019,R10390,R11943	RC00011	ko00000,ko00001,ko01000	-	-	-	Oxidored_q6
MGYG000000006_00680	1236689.MMALV_14060	2.14e-116	338.0	COG0098@1|root,arCOG04087@2157|Archaea,2XUQU@28890|Euryarchaeota,3F2HF@33867|unclassified Euryarchaeota	28890|Euryarchaeota	J	With S4 and S12 plays an important role in translational accuracy	rps5	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0022626,GO:0022627,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02988	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S5,Ribosomal_S5_C
MGYG000000006_00869	1236689.MMALV_03530	3.94e-86	265.0	COG0202@1|root,arCOG04241@2157|Archaea,2XTQB@28890|Euryarchaeota,3F2KY@33867|unclassified Euryarchaeota	28890|Euryarchaeota	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates	rpoD	GO:0000428,GO:0005575,GO:0005622,GO:0005623,GO:0030880,GO:0032991,GO:0044424,GO:0044464,GO:0061695,GO:1902494,GO:1990234	2.7.7.6	ko:K03047	ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020	M00184	R00435,R00441,R00442,R00443	RC02795	br01611,ko00000,ko00001,ko00002,ko01000,ko03021	-	-	-	Fer4,Fer4_7,Fer4_9,RNA_pol_A_bac,RNA_pol_L
MGYG000000006_00820	278963.ATWD01000002_gene559	8.86e-139	423.0	COG0380@1|root,COG0380@2|Bacteria,3Y3X7@57723|Acidobacteria,2JKGZ@204432|Acidobacteriia	204432|Acidobacteriia	G	Glycosyltransferase family 20	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_transf_20
MGYG000000006_00376	1236689.MMALV_00430	8.37e-20	82.0	COG2443@1|root,arCOG02204@2157|Archaea,2Y6IU@28890|Euryarchaeota,3F2UZ@33867|unclassified Euryarchaeota	28890|Euryarchaeota	U	TIGRFAM protein translocase SEC61 complex gamma subunit	-	-	-	ko:K07342	ko03060,ko04141,ko04145,ko05110,map03060,map04141,map04145,map05110	M00401	-	-	ko00000,ko00001,ko00002,ko02044	3.A.5.7,3.A.5.8,3.A.5.9	-	-	-
MGYG000000006_00971	1262449.CP6013_1976	1.72e-13	69.3	COG0839@1|root,COG0839@2|Bacteria,1VAQI@1239|Firmicutes,24NAC@186801|Clostridia,36I8J@31979|Clostridiaceae	186801|Clostridia	C	Belongs to the complex I subunit 6 family	ndhG	-	1.6.5.3	ko:K00339,ko:K05578	ko00190,ko01100,map00190,map01100	M00144,M00145	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1	-	-	Oxidored_q3
MGYG000000006_00025	926560.KE387027_gene707	1.38e-39	140.0	COG1765@1|root,COG1765@2|Bacteria,1WM1H@1297|Deinococcus-Thermus	1297|Deinococcus-Thermus	O	OsmC-like protein	-	-	-	-	-	-	-	-	-	-	-	-	OsmC
MGYG000000006_00058	70601.3256773	6.21e-08	61.6	COG4743@1|root,arCOG02884@2157|Archaea,2XU3K@28890|Euryarchaeota,2435R@183968|Thermococci	183968|Thermococci	S	Protein of unknown function (DUF1616)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1616
MGYG000000006_00092	1321778.HMPREF1982_00225	1.61e-70	230.0	COG1744@1|root,COG1744@2|Bacteria,1TPEU@1239|Firmicutes,248QT@186801|Clostridia	186801|Clostridia	S	basic membrane	bmpA	-	-	ko:K07335	-	-	-	-	ko00000	-	-	-	Bmp
MGYG000000006_00126	410358.Mlab_1648	3.07e-83	263.0	COG0722@1|root,arCOG00245@2157|Archaea	2157|Archaea	E	prephenate dehydrogenase	tyrA	-	1.3.1.12,4.2.1.51,5.4.99.5	ko:K04517,ko:K14170,ko:K14187	ko00400,ko00401,ko01100,ko01110,ko01130,ko01230,map00400,map00401,map01100,map01110,map01130,map01230	M00024,M00025	R00691,R01373,R01715,R01728	RC00125,RC00360,RC03116	ko00000,ko00001,ko00002,ko01000	-	-	-	ACT,CM_2,F420_oxidored,PDH,PDT
MGYG000000006_00159	485913.Krac_6676	1.46e-142	425.0	COG0477@1|root,COG0477@2|Bacteria	2|Bacteria	EGP	Major facilitator Superfamily	-	-	-	-	-	-	-	-	-	-	-	-	MFS_1,MFS_3,Sugar_tr
MGYG000000006_00191	1151292.QEW_0593	2.77e-67	213.0	COG4845@1|root,COG4845@2|Bacteria,1V5KR@1239|Firmicutes,24HNF@186801|Clostridia	186801|Clostridia	V	PFAM Chloramphenicol acetyltransferase	-	-	2.3.1.28	ko:K19271	-	-	-	-	br01600,ko00000,ko01000,ko01504	-	-	-	CAT,DUF2087
MGYG000000006_00224	69014.TK2117	2.6e-83	255.0	COG0476@1|root,arCOG01676@2157|Archaea,2XTYV@28890|Euryarchaeota,242KS@183968|Thermococci	183968|Thermococci	H	ThiF family	-	-	2.7.7.80	ko:K21029	ko04122,map04122	-	R07459	RC00043	ko00000,ko00001,ko01000	-	-	-	ThiF
MGYG000000006_00256	658086.HMPREF0994_03345	1.15e-197	565.0	COG2865@1|root,COG2865@2|Bacteria,1TSPK@1239|Firmicutes,249QT@186801|Clostridia,27KC1@186928|unclassified Lachnospiraceae	186801|Clostridia	K	Putative ATP-dependent DNA helicase recG C-terminal	-	-	3.6.4.12	ko:K03655	ko03440,map03440	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	AlbA_2,HATPase_c_4,HTH_24
MGYG000000006_00289	411490.ANACAC_00387	3.47e-117	346.0	COG2035@1|root,COG2035@2|Bacteria,1UYD5@1239|Firmicutes,24B08@186801|Clostridia	186801|Clostridia	S	Psort location CytoplasmicMembrane, score	-	-	-	ko:K08974	-	-	-	-	ko00000	-	-	-	DUF368
MGYG000000006_00323	1120998.AUFC01000025_gene836	4.16e-133	385.0	COG0650@1|root,COG0650@2|Bacteria,1UIUW@1239|Firmicutes,249VU@186801|Clostridia	186801|Clostridia	C	PFAM respiratory-chain NADH dehydrogenase, subunit 1	-	-	1.6.5.3	ko:K00337,ko:K14087	ko00190,ko01100,map00190,map01100	M00144	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1	-	-	NADHdh
MGYG000000006_00356	1408428.JNJP01000048_gene1604	5.23e-40	147.0	COG0600@1|root,COG0600@2|Bacteria,1PC26@1224|Proteobacteria,435Z0@68525|delta/epsilon subdivisions,2X0G9@28221|Deltaproteobacteria,2MC87@213115|Desulfovibrionales	28221|Deltaproteobacteria	P	Binding-protein-dependent transport system inner membrane component	-	-	-	-	-	-	-	-	-	-	-	-	BPD_transp_1
MGYG000000006_00390	1054217.TALC_00194	1.59e-125	368.0	COG3958@1|root,arCOG01051@2157|Archaea,2Y86K@28890|Euryarchaeota,241IF@183967|Thermoplasmata	183967|Thermoplasmata	G	Transketolase, pyrimidine binding domain	-	-	2.2.1.1	ko:K00615	ko00030,ko00710,ko01051,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map00710,map01051,map01100,map01110,map01120,map01130,map01200,map01230	M00004,M00007,M00165,M00167	R01067,R01641,R01830,R06590	RC00032,RC00226,RC00571,RC01560	ko00000,ko00001,ko00002,ko01000	-	-	-	Transket_pyr,Transketolase_C
MGYG000000006_00422	797302.Halru_0753	6.34e-27	102.0	COG3388@1|root,arCOG01345@2157|Archaea,2XXVY@28890|Euryarchaeota,23W4Z@183963|Halobacteria	183963|Halobacteria	K	protein conserved in archaea	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000006_00456	1054217.TALC_00149	1.95e-80	249.0	COG2519@1|root,arCOG00978@2157|Archaea,2XTV7@28890|Euryarchaeota,241UX@183967|Thermoplasmata	183967|Thermoplasmata	J	tRNA methyltransferase complex GCD14 subunit	-	-	2.1.1.219,2.1.1.220	ko:K07442	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	GCD14
MGYG000000006_00488	391623.TERMP_00073	4.43e-81	252.0	COG1831@1|root,arCOG00893@2157|Archaea,2XTX7@28890|Euryarchaeota,243FU@183968|Thermococci	183968|Thermococci	S	TatD related DNase	-	-	-	ko:K07049	-	-	-	-	ko00000	-	-	-	TatD_DNase
MGYG000000006_00520	342949.PNA2_1219	5.22e-227	683.0	COG1241@1|root,COG1372@1|root,arCOG03146@1|root,arCOG03155@1|root,arCOG00439@2157|Archaea,arCOG03146@2157|Archaea,arCOG03155@2157|Archaea,arCOG03158@2157|Archaea,2XT5D@28890|Euryarchaeota,243QT@183968|Thermococci	183968|Thermococci	L	Belongs to the MCM family	-	-	-	ko:K10726	ko03030,map03030	-	-	-	ko00000,ko00001,ko01000,ko03032	-	-	-	HTH_3,Intein_splicing,LAGLIDADG_3,LAGLIDADG_WhiA,MCM,MCM_N,MCM_OB
MGYG000000006_00552	96561.Dole_1586	1.59e-37	131.0	COG1661@1|root,COG1661@2|Bacteria,1RIUJ@1224|Proteobacteria,42SC0@68525|delta/epsilon subdivisions,2WPPG@28221|Deltaproteobacteria,2MKD3@213118|Desulfobacterales	28221|Deltaproteobacteria	S	Domain of unknown function (DUF296)	-	-	-	-	-	-	-	-	-	-	-	-	DUF296
MGYG000000006_00584	526227.Mesil_2004	1.74e-32	118.0	COG0509@1|root,COG0509@2|Bacteria,1WJYK@1297|Deinococcus-Thermus	1297|Deinococcus-Thermus	E	The glycine cleavage system catalyzes the degradation of glycine. The H protein shuttles the methylamine group of glycine from the P protein to the T protein	gcvH	-	-	ko:K02437	ko00260,ko00630,ko01100,ko01110,ko01130,ko01200,map00260,map00630,map01100,map01110,map01130,map01200	M00532	R01221	RC00022,RC02834	ko00000,ko00001,ko00002	-	-	-	GCV_H
MGYG000000006_00616	1236689.MMALV_04100	1.07e-57	183.0	COG4050@1|root,arCOG04903@2157|Archaea,2XY68@28890|Euryarchaeota	28890|Euryarchaeota	S	Methanogenesis marker protein 5	-	-	-	-	-	-	-	-	-	-	-	-	DUF2112
MGYG000000006_00650	565033.GACE_1112	1.31e-200	581.0	COG0449@1|root,arCOG00057@2157|Archaea,2XTC0@28890|Euryarchaeota,2460Q@183980|Archaeoglobi	183980|Archaeoglobi	M	Catalyzes the first step in hexosamine metabolism, converting fructose-6P into glucosamine-6P using glutamine as a nitrogen source	glmS	-	2.6.1.16	ko:K00820	ko00250,ko00520,ko01100,ko01130,ko04931,map00250,map00520,map01100,map01130,map04931	-	R00768	RC00010,RC00163,RC02752	ko00000,ko00001,ko01000,ko01002	-	-	-	GATase_6,SIS
MGYG000000006_00668	1236689.MMALV_14180	2.34e-53	168.0	COG0023@1|root,arCOG04223@2157|Archaea,2XXW5@28890|Euryarchaeota,3F2TV@33867|unclassified Euryarchaeota	28890|Euryarchaeota	J	Translation initiation factor SUI1	tif1a	GO:0001731,GO:0002181,GO:0002183,GO:0002188,GO:0002190,GO:0002192,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003743,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006412,GO:0006413,GO:0006518,GO:0006807,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016043,GO:0019538,GO:0022607,GO:0022613,GO:0022618,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0043021,GO:0043022,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0044877,GO:0065003,GO:0070992,GO:0071704,GO:0071826,GO:0071840,GO:0097159,GO:0110017,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K03113	ko03013,map03013	-	-	-	ko00000,ko00001,ko03012	-	-	-	SUI1
MGYG000000006_00566	1236689.MMALV_09430	1.57e-222	632.0	COG3894@1|root,arCOG02036@2157|Archaea,2Y8HG@28890|Euryarchaeota	28890|Euryarchaeota	C	Domain of unknown function (DUF4445)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4445
MGYG000000006_00792	439481.Aboo_0547	5.64e-37	129.0	COG4738@1|root,arCOG04377@2157|Archaea,2XZEC@28890|Euryarchaeota,3F3DI@33867|unclassified Euryarchaeota	28890|Euryarchaeota	K	Transcriptional regulator, TrmB	-	-	-	-	-	-	-	-	-	-	-	-	SMC_ScpB
MGYG000000006_01491	1236689.MMALV_14430	7.1e-240	682.0	COG0017@1|root,arCOG00406@2157|Archaea,2XTRE@28890|Euryarchaeota,3F2GB@33867|unclassified Euryarchaeota	28890|Euryarchaeota	J	Catalyzes the attachment of L-aspartate to tRNA(Asp) in a two-step reaction L-aspartate is first activated by ATP to form Asp-AMP and then transferred to the acceptor end of tRNA(Asp)	-	-	6.1.1.12	ko:K01876	ko00970,map00970	M00359,M00360	R05577	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016,ko03029	-	-	-	GAD,tRNA-synt_2,tRNA_anti-codon
MGYG000000006_00335	1236689.MMALV_00300	4.2e-103	314.0	COG1676@1|root,arCOG01701@2157|Archaea,2XTKB@28890|Euryarchaeota,3F2U2@33867|unclassified Euryarchaeota	28890|Euryarchaeota	L	tRNA intron endonuclease, catalytic C-terminal domain	endA	GO:0000213,GO:0000379,GO:0000394,GO:0003674,GO:0003824,GO:0004518,GO:0004519,GO:0004521,GO:0004540,GO:0004549,GO:0006139,GO:0006388,GO:0006396,GO:0006399,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0008380,GO:0009987,GO:0010467,GO:0016070,GO:0016787,GO:0016788,GO:0016892,GO:0016894,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0044237,GO:0044238,GO:0046483,GO:0071704,GO:0090304,GO:0090305,GO:0090501,GO:0090502,GO:0140098,GO:0140101,GO:1901360	4.6.1.16	ko:K01170	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	tRNA_int_endo,tRNA_int_endo_N
MGYG000000006_01018	1054217.TALC_01391	2.11e-156	450.0	COG0247@1|root,arCOG00333@2157|Archaea,2Y85G@28890|Euryarchaeota,242ID@183967|Thermoplasmata	2157|Archaea	C	4Fe-4S dicluster domain	-	-	-	-	-	-	-	-	-	-	-	-	CCG,Fer4_8
MGYG000000006_01554	456442.Mboo_0213	3.15e-37	127.0	COG0760@1|root,arCOG07441@2157|Archaea	2157|Archaea	G	PFAM PpiC-type peptidyl-prolyl cis-trans isomerase	-	-	5.2.1.8	ko:K03769,ko:K07533	-	-	-	-	ko00000,ko01000,ko03110	-	-	-	Rotamase,Rotamase_3
MGYG000000006_00663	673860.AciM339_1101	5.86e-90	271.0	COG0090@1|root,arCOG04067@2157|Archaea,2XTCS@28890|Euryarchaeota,3F2KT@33867|unclassified Euryarchaeota	28890|Euryarchaeota	J	Ribosomal Proteins L2, C-terminal domain	rpl2	GO:0002181,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02886	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L2,Ribosomal_L2_C
MGYG000000006_00925	1054217.TALC_00169	2.53e-101	298.0	COG0052@1|root,arCOG04245@2157|Archaea,2XTHM@28890|Euryarchaeota,241MQ@183967|Thermoplasmata	183967|Thermoplasmata	J	Belongs to the universal ribosomal protein uS2 family	rps2	-	-	ko:K02967	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S2
MGYG000000006_00477	1124991.MU9_1809	2.66e-43	145.0	COG0239@1|root,COG0239@2|Bacteria,1RHHM@1224|Proteobacteria,1S6M8@1236|Gammaproteobacteria	1236|Gammaproteobacteria	U	Important for reducing fluoride concentration in the cell, thus reducing its toxicity	crcB_1	GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006820,GO:0008150,GO:0008509,GO:0015075,GO:0015103,GO:0015318,GO:0015698,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0031226,GO:0034220,GO:0044425,GO:0044459,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071944,GO:0098656,GO:0098660,GO:0098661,GO:1903424,GO:1903425	-	ko:K06199	-	-	-	-	ko00000,ko02000	1.A.43.1,1.A.43.2,1.A.43.3	-	-	CRCB
MGYG000000006_00060	1125973.JNLC01000012_gene888	4.23e-33	136.0	COG0438@1|root,COG1216@1|root,COG0438@2|Bacteria,COG1216@2|Bacteria,1QUUA@1224|Proteobacteria,2U1P5@28211|Alphaproteobacteria,3JXT9@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	M	Glycosyl transferase family 21	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_tranf_2_3,Glyco_trans_4_4,Glyco_transf_21,Glyco_transf_4,Glycos_transf_1,Glycos_transf_2
MGYG000000006_00095	439481.Aboo_0511	1.12e-116	355.0	COG1746@1|root,arCOG04249@2157|Archaea,2XT5J@28890|Euryarchaeota,3F2HM@33867|unclassified Euryarchaeota	28890|Euryarchaeota	J	Catalyzes the addition and repair of the essential 3'- terminal CCA sequence in tRNAs without using a nucleic acid template. Adds these three nucleotides in the order of C, C, and A to the tRNA nucleotide-73, using CTP and ATP as substrates and producing inorganic pyrophosphate	cca	-	2.7.7.72	ko:K07558	-	-	R09382,R09383,R09384,R09386	RC00078	ko00000,ko01000,ko03016	-	-	-	NTP_transf_2,tRNA_NucTransf2
MGYG000000006_00128	410358.Mlab_1650	7.44e-137	405.0	COG0128@1|root,arCOG04134@2157|Archaea,2XTC3@28890|Euryarchaeota,2N97U@224756|Methanomicrobia	224756|Methanomicrobia	E	Catalyzes the transfer of the enolpyruvyl moiety of phosphoenolpyruvate (PEP) to the 5-hydroxyl of shikimate-3- phosphate (S3P) to produce enolpyruvyl shikimate-3-phosphate and inorganic phosphate	aroA	-	2.5.1.19	ko:K00800	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R03460	RC00350	ko00000,ko00001,ko00002,ko01000	-	-	-	EPSP_synthase
MGYG000000006_00161	1236689.MMALV_12140	0.0	925.0	COG0574@1|root,arCOG01111@2157|Archaea,2XU2T@28890|Euryarchaeota,3F2MC@33867|unclassified Euryarchaeota	28890|Euryarchaeota	G	PEP-utilising enzyme, mobile domain	-	-	2.7.9.1,2.7.9.2	ko:K01006,ko:K01007	ko00620,ko00680,ko00710,ko00720,ko01100,ko01120,ko01200,map00620,map00680,map00710,map00720,map01100,map01120,map01200	M00169,M00171,M00172,M00173,M00374	R00199,R00206	RC00002,RC00015	ko00000,ko00001,ko00002,ko01000	-	-	-	PEP-utilizers,PEP-utilizers_C,PPDK_N
MGYG000000006_00193	1408428.JNJP01000053_gene2430	3.66e-132	390.0	COG0502@1|root,COG0502@2|Bacteria,1R5JK@1224|Proteobacteria,42PVZ@68525|delta/epsilon subdivisions,2WJP2@28221|Deltaproteobacteria,2M946@213115|Desulfovibrionales	28221|Deltaproteobacteria	H	Transcriptional regulator	-	-	2.8.1.6	ko:K01012	ko00780,ko01100,map00780,map01100	M00123,M00573,M00577	R01078	RC00441	ko00000,ko00001,ko00002,ko01000	-	-	-	PadR,Radical_SAM
